x,y,yaw,v
2.592007,-0.112871,-0.013285,2.039193
2.592007,-0.112871,-0.013285,2.039193
2.612395,-0.113079,-0.012541,2.038566
2.632777,-0.113273,-0.011849,2.038058
2.632777,-0.113273,-0.011849,2.038058
2.653149,-0.113427,-0.010913,2.036442
2.653149,-0.113427,-0.010913,2.036442
2.673506,-0.113571,-0.010107,2.035133
2.693852,-0.113678,-0.009104,2.034073
2.693852,-0.113678,-0.009104,2.034073
2.714188,-0.113777,-0.008259,2.033214
2.714188,-0.113777,-0.008259,2.033214
2.734517,-0.113841,-0.007234,2.032519
2.754839,-0.113898,-0.006376,2.031956
2.754839,-0.113898,-0.006376,2.031956
2.775156,-0.113921,-0.005343,2.0315
2.775156,-0.113921,-0.005343,2.0315
2.795469,-0.113937,-0.004481,2.031131
2.795469,-0.113937,-0.004481,2.031131
2.795469,-0.113937,-0.004481,2.031131
2.815779,-0.11392,-0.003445,2.030832
2.815779,-0.11392,-0.003445,2.030832
2.836086,-0.113896,-0.002581,2.03059
2.836086,-0.113896,-0.002581,2.03059
2.85639,-0.11384,-0.001545,2.030161
2.85639,-0.11384,-0.001545,2.030161
2.87669,-0.113777,-0.00068,2.029814
2.87669,-0.113777,-0.00068,2.029814
2.87669,-0.113777,-0.00068,2.029814
2.896986,-0.113681,0.000357,2.029533
2.896986,-0.113681,0.000357,2.029533
2.91728,-0.113579,0.001221,2.029306
2.91728,-0.113579,0.001221,2.029306
2.937572,-0.113445,0.002258,2.029121
2.957862,-0.113304,0.003122,2.028972
2.978147,-0.11313,0.004159,2.028316
2.978147,-0.11313,0.004159,2.028316
2.978147,-0.11313,0.004159,2.028316
2.998427,-0.112951,0.005024,2.027785
2.998427,-0.112951,0.005024,2.027785
3.018702,-0.112739,0.00606,2.027355
3.018702,-0.112739,0.00606,2.027355
3.038973,-0.112547,0.006631,2.027007
3.038973,-0.112547,0.006631,2.027007
3.059241,-0.112415,0.006438,2.026725
3.059241,-0.112415,0.006438,2.026725
3.079507,-0.112308,0.00607,2.026497
3.079507,-0.112308,0.00607,2.026497
3.099771,-0.112247,0.005329,2.026312
3.120033,-0.1122,0.00464,2.026162
3.120033,-0.1122,0.00464,2.026162
3.140294,-0.112193,0.00371,2.026041
3.140294,-0.112193,0.00371,2.026041
3.140294,-0.112193,0.00371,2.026041
3.160554,-0.112197,0.00291,2.025943
3.160554,-0.112197,0.00291,2.025943
3.180813,-0.112236,0.001914,2.025863
3.180813,-0.112236,0.001914,2.025863
3.180813,-0.112236,0.001914,2.025863
3.20107,-0.112284,0.001075,2.025597
3.20107,-0.112284,0.001075,2.025597
3.221325,-0.112366,0.000055,2.025382
3.221325,-0.112366,0.000055,2.025382
3.221325,-0.112366,0.000055,2.025382
3.241578,-0.112455,-0.000798,2.025208
3.241578,-0.112455,-0.000798,2.025208
3.261829,-0.112578,-0.001827,2.025067
3.261829,-0.112578,-0.001827,2.025067
3.261829,-0.112578,-0.001827,2.025067
3.282078,-0.112708,-0.002686,2.024952
3.282078,-0.112708,-0.002686,2.024952
3.302327,-0.112871,-0.003718,2.02486
3.302327,-0.112871,-0.003718,2.02486
3.322574,-0.11304,-0.004578,2.024785
3.342821,-0.113242,-0.005611,2.024724
3.363067,-0.11345,-0.006473,2.024675
3.383312,-0.113691,-0.007507,2.024635
3.403556,-0.113937,-0.008369,2.024603
3.4238,-0.114217,-0.009403,2.024577
3.444043,-0.114502,-0.010265,2.024329
3.444043,-0.114502,-0.010265,2.024329
3.464283,-0.11482,-0.011299,2.024129
3.464283,-0.11482,-0.011299,2.024129
