x,y,yaw,v
-1.705559,8.792727,-3.140363,2
-1.945559,8.792432,-3.140363,2
-2.190559,8.79213,-3.140363,2
-2.400559,8.791872,-3.140363,2
-2.620559,8.791601,-3.140363,2
-2.815558,8.791362,-3.140363,2
-3.020558,8.791109,-3.140363,2
-3.230558,8.790851,-3.140363,2
-3.450558,8.790581,-3.140363,2
-3.650558,8.790335,-3.140363,2
-3.860558,8.790076,-3.140363,2
-4.060558,8.78983,-3.140363,2
-4.250557,8.789597,-3.140363,2
-4.435557,8.789369,-3.140363,2
-4.655557,8.789098,-3.140363,2
-4.900557,8.788797,-3.140363,2
-5.090557,8.788563,-3.140363,2
-5.315557,8.788287,-3.140363,2
-5.490556,8.788071,-3.140363,2
-5.710556,8.787801,-3.140363,2
-5.915556,8.787549,-3.140363,2
-6.110556,8.787309,-3.140363,2
-6.305556,8.787069,-3.140363,2
-6.505556,8.786823,-3.140363,2
-6.700556,8.786583,-3.140363,2
-6.950555,8.786275,-3.140363,2
-7.200555,8.785968,-3.140363,2
-7.395555,8.785728,-3.140363,2
-7.590555,8.785488,-3.140363,2
-7.780555,8.785255,-3.140363,2
-7.970555,8.785021,-3.140363,2
-8.205554,8.784732,-3.140363,2
-8.395554,8.784498,-3.140363,2
-8.570554,8.784283,-3.140363,2
-8.750554,8.784061,-3.140363,2
-8.930554,8.78384,-3.140363,2
-9.145554,8.783576,-3.140363,2
-9.390554,8.783274,-3.140363,2
-9.595553,8.783022,-3.140363,2
-9.795553,8.782776,-3.140363,2
-9.995553,8.78253,-3.140363,2
-10.195553,8.782284,-3.140363,2
-10.440553,8.781983,-3.140363,2
-10.640553,8.781737,-3.140363,2
-10.880552,8.781441,-3.140363,2
-11.095552,8.781177,-3.140363,2
-11.295552,8.780931,-3.140363,2
-11.485552,8.780697,-3.140363,2
-11.690552,8.780445,-3.140363,2
-11.870552,8.780224,-3.140363,2
-12.080551,8.779965,-3.140363,2
-12.305551,8.779689,-3.140363,2
-12.510551,8.779436,-3.140363,2
-12.700412,8.774744,-3.049196,2
-12.891809,8.738918,-2.863908,2
-13.068851,8.670667,-2.683372,2
-13.246703,8.55966,-2.483831,2
-13.392442,8.423131,-2.293792,2
-13.512297,8.257219,-2.099003,2
-13.597771,8.071244,-1.904213,2
-13.651724,7.822617,-1.684771,2
-13.681293,7.564303,-1.684771,2
-13.705176,7.355666,-1.684771,2
-13.727921,7.156964,-1.684771,2
-13.750667,6.958261,-1.684771,2
-13.774549,6.749624,-1.684771,2
-13.796726,6.555889,-1.684771,2
-13.821178,6.342284,-1.684771,2
-13.843355,6.148549,-1.684771,2
-13.867806,5.934944,-1.684771,2
-13.890552,5.736241,-1.684771,2
-13.914029,5.527561,-1.660118,2
-13.926758,5.272891,-1.616461,2
-13.935432,5.083089,-1.616461,2
-13.947757,4.813371,-1.616461,2
-13.957799,4.5936,-1.616461,2
-13.969212,4.343861,-1.616461,2
-13.978341,4.144069,-1.616461,2
-13.988384,3.924298,-1.616461,2
-13.998427,3.704528,-1.616461,2
-14.01098,3.429814,-1.616461,2
-14.020567,3.220033,-1.616461,2
-14.031294,2.985278,-1.616461,2
-14.040652,2.780492,-1.616461,2
-14.049553,2.585695,-1.616461,2
-14.058911,2.380909,-1.616461,2
-14.067356,2.196102,-1.616461,2
-14.071102,2.00623,-1.520544,2
-14.048921,1.807519,-1.44363,2
-14.026093,1.628972,-1.44363,2
-14.002631,1.445466,-1.44363,2
-13.9779,1.252041,-1.44363,2
