x,y,yaw,v
8.923957,-0.222908,0.469448,0.5
9.010857,-0.173503,0.564467,0.5
9.080758,-0.125181,0.645233,0.5
9.142785,-0.074689,0.721249,0.5
9.204284,-0.016046,0.802015,0.5
9.267164,0.055123,0.892284,0.5
9.306373,0.106953,0.954046,0.5
9.35012,0.173909,1.030062,0.5
9.395283,0.257451,1.12033,0.5
9.425504,0.326075,1.191595,0.5
9.457109,0.415643,1.254255,0.5
9.477342,0.477414,1.254255,0.5
9.503801,0.558191,1.254255,0.5
9.531817,0.643719,1.254255,0.5
9.559832,0.729248,1.254255,0.5
9.584734,0.805273,1.254255,0.5
9.611193,0.88605,1.254255,0.5
9.636096,0.962076,1.254255,0.5
9.657885,1.028598,1.254255,0.5
9.684344,1.109375,1.254255,0.5
9.705093,1.176223,1.297912,0.5
9.721703,1.24421,1.364426,0.5
9.738369,1.332652,1.389078,0.5
9.750116,1.396581,1.389078,0.5
9.761862,1.460511,1.389078,0.5
9.773609,1.524441,1.389078,0.5
9.785356,1.588371,1.389078,0.5
9.796411,1.65242,1.423233,0.5
9.804786,1.726935,1.494498,0.5
9.807798,1.796857,1.561011,0.5
9.805877,1.871817,1.629149,0.5
9.801605,1.936676,1.637925,0.5
9.796909,2.006519,1.637925,0.5
9.791208,2.091327,1.637925,0.5
9.787183,2.151192,1.637925,0.5
9.781817,2.231012,1.637925,0.5
9.777457,2.295866,1.637925,0.5
9.773096,2.360719,1.637925,0.5
9.768736,2.425573,1.637925,0.5
9.763706,2.500404,1.637925,0.5
9.758675,2.575235,1.637925,0.5
9.753979,2.645077,1.637925,0.5
9.749619,2.709931,1.637925,0.5
9.745259,2.774785,1.637925,0.5
9.740228,2.849616,1.637925,0.5
9.734527,2.934424,1.637925,0.5
9.728825,3.019233,1.637925,0.5
9.724129,3.089075,1.637925,0.5
9.719769,3.153929,1.637925,0.5
9.715074,3.223771,1.637925,0.5
9.709708,3.303591,1.637925,0.5
9.704677,3.378422,1.637925,0.5
9.700317,3.443275,1.637925,0.5
9.694615,3.528084,1.637925,0.5
9.688913,3.612893,1.637925,0.5
9.683443,3.717735,1.584766,0.5
9.684961,3.827719,1.550611,0.5
9.68698,3.927699,1.550611,0.5
9.688292,3.992686,1.550611,0.5
